file,propeller,volume
"12x6E-PERF.PE0","12x6E: radius 6.00 in, 2 blades, hub radius 0.400 in","model 0.9280 in^3 with the bore cut; file quotes 0.9944 in^3"
"12x6EP(F2B)-PERF.PE0","12x6EP: radius 6.00 in, 2 blades, hub radius 0.400 in","model 0.8012 in^3 with the bore cut; file quotes 0.8476 in^3"
"12x6SF-PERF.PE0","12x6SF: radius 6.00 in, 2 blades, hub radius 0.250 in","model 0.5582 in^3 with the bore cut; file quotes 0.6478 in^3"
"12x7-PERF.PE0","12x7: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5976 in^3 with the bore cut; file quotes 1.6795 in^3"
"12x7E-3-PERF.PE0","12x7E-3: radius 6.00 in, 3 blades, hub radius 0.400 in","model 1.4225 in^3 with the bore cut; file quotes 1.4322 in^3"
"12x8-PERF.PE0","12x8: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5831 in^3 with the bore cut; file quotes 1.8442 in^3"
"12x85F-PERF.PE0","12x8.5F: radius 6.00 in, 2 blades, hub radius 0.000 in","model 0.2875 in^3 with the bore cut; file quotes 0.8048 in^3"
"12x8E-PERF.PE0","12x8E: radius 6.00 in, 2 blades, hub radius 0.400 in","model 0.9234 in^3 with the bore cut; file quotes 0.9796 in^3"
"12x8SF-PERF.PE0","12x8SF: radius 6.00 in, 2 blades, hub radius 0.250 in","model 0.5656 in^3 with the bore cut; file quotes 0.6573 in^3"
"12x9-PERF.PE0","12x9: radius 6.00 in, 2 blades, hub radius 0.500 in","model 1.5946 in^3 with the bore cut; file quotes 1.6978 in^3"
"12x9W-PERF.PE0","12x9W: radius 6.00 in, 2 blades, hub radius 0.500 in","model 2.0236 in^3 with the bore cut; file quotes 2.1507 in^3"
"135x10-PERF.PE0","13.5x10: radius 6.75 in, 2 blades, hub radius 0.540 in","model 2.0554 in^3 with the bore cut; file quotes 2.2939 in^3"
"135x135-PERF.PE0","13.5x13.5: radius 6.75 in, 2 blades, hub radius 0.600 in","model 2.3087 in^3 with the bore cut; file quotes 2.5152 in^3"
"135x14-PERF.PE0","13.5x14: radius 6.75 in, 2 blades, hub radius 0.600 in","model 2.5019 in^3 with the bore cut; file quotes 2.6026 in^3"
"135x9-PERF.PE0","13.5x9: radius 6.75 in, 2 blades, hub radius 0.500 in","model 1.7431 in^3 with the bore cut; file quotes 1.8506 in^3"
"13x10-PERF.PE0","13x10: radius 6.47 in, 2 blades, hub radius 0.540 in","model 2.1089 in^3 with the bore cut; file quotes 2.2208 in^3"
"13x10E-PERF.PE0","13x10E: radius 6.47 in, 2 blades, hub radius 0.400 in","model 1.0606 in^3 with the bore cut; file quotes 1.1318 in^3"
"13x10F-PERF.PE0","13x10F: radius 6.50 in, 2 blades, hub radius 0.000 in","model 0.3568 in^3 with the bore cut; file quotes 0.9218 in^3"
"13x11-PERF.PE0","13x11: radius 6.50 in, 2 blades, hub radius 0.540 in","model 2.0471 in^3 with the bore cut; file quotes 2.2101 in^3"
"13x135N-PERF.PE0","13x13.5N: radius 6.50 in, 2 blades, hub radius 0.500 in","model 1.6966 in^3 with the bore cut; file quotes 1.9125 in^3"
"13x13N-PERF.PE0","13x13N: radius 6.50 in, 2 blades, hub radius 0.570 in","model 1.9033 in^3 with the bore cut; file quotes 2.0767 in^3"
"13x14-PERF.PE0","13x14: radius 6.47 in, 2 blades, hub radius 0.600 in","model 2.3186 in^3 with the bore cut; file quotes 2.4843 in^3"
"13x4-PERF.PE0","13x4: radius 6.45 in, 2 blades, hub radius 0.500 in","model 1.8257 in^3 with the bore cut; file quotes 1.9270 in^3"
"13x45EP(F2B)-PERF.PE0","13x4.5EP: radius 6.47 in, 2 blades, hub radius 0.400 in","model 0.8885 in^3 with the bore cut; file quotes 0.9221 in^3"
"13x45MR-PERF.PE0","13x4.5MR: radius 6.47 in, 2 blades, hub radius 0.320 in","model 0.8524 in^3 with the bore cut; file quotes 0.8936 in^3"
"13x47SF-PERF.PE0","13x4.7SF: radius 6.47 in, 2 blades, hub radius 0.250 in","model 0.6811 in^3 with the bore cut; file quotes 0.7842 in^3"
"13x4E-PERF.PE0","13x4E: radius 6.47 in, 2 blades, hub radius 0.400 in","model 1.0655 in^3 with the bore cut; file quotes 1.1258 in^3"
"13x4W-PERF.PE0","13x4W: radius 6.50 in, 2 blades, hub radius 0.500 in","model 1.5192 in^3 with the bore cut; file quotes 1.7502 in^3"
