folder,source_file,model,megabytes,blades,diameter_in,pitch_in,hub_thickness_in,bore_in,model_volume_in3,file_volume_in3,volume_error_pct,model_mass_g,airfoil
15.5x12-4,155x12-4-PERF.PE0,hub and blades,26.83,4,15.5,12.0,0.4504,0.25,3.8577,4.5292,-14.8,107.47,CLARK-Y
15.75x13-3,1575x13-3-PERF.PE0,hub and blades,19.64,3,15.75,13.0,0.4394,0.375,4.0451,4.365,-7.3,112.69,CLARK-Y
15x10,15x10-PERF.PE0,hub and blades,13.27,2,15.0,10.0,0.612,0.375,3.1713,3.2549,-2.6,88.35,CLARK-Y
15x10E,15x10E-PERF.PE0,hub and blades,13.04,2,15.0,10.0,0.36,0.375,1.5303,1.5966,-4.2,42.63,E63 to APC12
15x11,15x11-PERF.PE0,hub and blades,13.27,2,15.0,11.0,0.612,0.375,3.1711,3.2632,-2.8,88.34,CLARK-Y
15x12,15x12-PERF.PE0,hub and blades,13.28,2,15.0,12.0,0.612,0.375,3.1677,3.2684,-3.1,88.25,CLARK-Y
15x12E,15x12E-PERF.PE0,"one blade, no hub",5.8,1,15.0,12.0,,,0.5458,0.7094,,15.21,E63 to APC12
15x13.5-3,15x135-3-PERF.PE0,hub and blades,19.33,3,15.0,13.4999,0.3995,0.5,3.2034,3.6322,-11.8,89.24,CLARK-Y
15x4E,15x4E-PERF.PE0,hub and blades,13.18,2,15.0,4.0,0.4,0.375,1.5841,1.6316,-2.9,44.13,E63 to APC12
15x4W,15x4W-PERF.PE0,hub and blades,13.24,2,15.0,4.2819,0.246,0.375,2.3301,2.5281,-7.8,64.91,CLARK-Y
15x5.5MR,15x55MR-PERF.PE0,hub and blades,13.3,2,15.0,5.5,0.305,0.25,1.2975,1.3347,-2.8,36.14,E63 to APC12
15x6,15x6-PERF.PE0,hub and blades,13.29,2,15.0,6.0,0.4351,0.375,2.6539,2.7297,-2.8,73.93,CLARK-Y
15x6E,15x6E-PERF.PE0,hub and blades,13.09,2,15.0,6.0,0.365,0.375,1.5503,1.6101,-3.7,43.19,E63 to APC12
15x7,15x7-PERF.PE0,hub and blades,13.27,2,15.0,7.0,0.4351,0.375,2.6683,2.7223,-2.0,74.33,CLARK-Y
15x7E,15x7E-PERF.PE0,hub and blades,13.11,2,15.0,7.0,0.345,0.375,1.5298,1.5963,-4.2,42.62,E63 to APC12
15x8,15x8-PERF.PE0,hub and blades,13.26,2,15.0,8.0,0.612,0.375,3.1396,3.1835,-1.4,87.46,CLARK-Y
15x8E,15x8E-PERF.PE0,hub and blades,13.11,2,15.0,8.0,0.345,0.375,1.5264,1.5971,-4.4,42.52,E63 to APC12
16x10,16x10-PERF.PE0,hub and blades,13.19,2,16.0,10.0,0.6142,0.375,3.6013,3.813,-5.6,100.32,CLARK-Y
16x10E,16x10E-PERF.PE0,hub and blades,13.19,2,16.0,10.0,0.37,0.375,1.7696,1.8716,-5.5,49.3,E63 to APC12
16x12,16x12-PERF.PE0,hub and blades,13.19,2,16.0,12.0,0.6142,0.375,3.5854,3.7845,-5.3,99.88,CLARK-Y
16x12E,16x12E-PERF.PE0,hub and blades,13.37,2,16.0,12.0,0.375,0.375,1.7632,1.8833,-6.4,49.12,E63 to APC12
16x13,16x13-PERF.PE0,hub and blades,13.2,2,16.0,13.0,0.6142,0.375,3.6005,3.8348,-6.1,100.3,CLARK-Y
16x14,16x14-PERF.PE0,hub and blades,13.22,2,16.0,14.0,0.6142,0.375,3.6178,3.8367,-5.7,100.19,CLARK-Y
16x16,16x16-PERF.PE0,hub and blades,13.21,2,16.0,16.0,0.6142,0.375,3.6208,3.8395,-5.7,100.87,CLARK-Y
16x4E,16x4E-PERF.PE0,hub and blades,13.24,2,16.0,4.0,0.43,0.375,2.0058,2.0506,-2.2,55.88,E63 to APC12
16x4W,16x4W-PERF.PE0,hub and blades,13.41,2,16.0,4.2765,0.4561,0.375,3.1871,3.3287,-4.3,88.79,CLARK-Y
16x5.5MR,16x55MR-PERF.PE0,hub and blades,13.59,2,16.0,5.5,0.305,0.25,1.5512,1.591,-2.5,43.21,E63 to APC12
16x6,16x6-PERF.PE0,hub and blades,13.25,2,16.0,6.0,0.49,0.375,3.3248,3.3964,-2.1,92.62,CLARK-Y
16x6E,16x6E-PERF.PE0,hub and blades,13.23,2,16.0,6.0,0.4285,0.375,1.8159,1.8933,-4.1,50.59,E63 to APC12
16x7,16x7-PERF.PE0,hub and blades,13.2,2,16.0,7.0,0.5752,0.375,3.4296,3.4817,-1.5,95.54,CLARK-Y
16x7E,16x7E(3D)-PERF.PE0,hub and blades,13.28,2,16.0,7.0,0.2675,0.375,1.51,1.659,-9.0,42.07,E63 to APC12
16x8,16x8-PERF.PE0,hub and blades,13.21,2,16.0,8.0,0.6142,0.375,3.5682,3.676,-2.9,99.4,CLARK-Y
16x8E,16x8E-PERF.PE0,hub and blades,13.21,2,16.0,8.0,0.375,0.375,1.7731,1.8727,-5.3,49.39,E63 to APC12
17x10,17x10-PERF.PE0,hub and blades,13.24,2,16.95,10.0,0.5275,0.375,3.9669,4.262,-6.9,110.51,CLARK-Y
17x10E,17x10E-PERF.PE0,hub and blades,13.4,2,16.95,10.0,0.415,0.375,2.1345,2.3245,-8.2,59.46,E63 to APC12
17x10N,17x10N-PERF.PE0,hub and blades,13.36,2,17.0,10.0,0.4108,0.375,3.2322,3.6662,-11.8,90.04,CLARK-Y
17x10WE,17x10WE-PERF.PE0,hub and blades,13.36,2,16.95,10.0,0.41,0.375,2.6873,2.9048,-7.5,74.86,E63 to APC12
17x12E,17x12E-PERF.PE0,hub and blades,13.46,2,16.95,12.0,0.425,0.375,2.1262,2.3572,-9.8,59.23,E63 to APC12
17x12W,17x12W-PERF.PE0,hub and blades,12.99,2,16.95,12.0,0.6142,0.375,4.6656,4.8796,-4.4,129.97,CLARK-Y
17x13,17x13-PERF.PE0,hub and blades,12.99,2,16.95,13.0,0.6142,0.375,4.2103,4.4135,-4.6,117.29,CLARK-Y
17x4W,17x4W-PERF.PE0,hub and blades,13.27,2,16.95,4.2814,0.2674,0.375,3.3302,3.5377,-5.9,92.77,CLARK-Y
17x6,17x6-PERF.PE0,hub and blades,13.41,2,16.95,6.0,0.5275,0.375,3.8662,4.1424,-6.7,107.71,CLARK-Y
17x6E,17x6E-PERF.PE0,hub and blades,13.35,2,16.95,6.0,0.42,0.375,2.1616,2.3324,-7.3,60.22,E63 to APC12
17x7E,17x7E-PERF.PE0,hub and blades,13.43,2,16.95,7.0,0.42,0.375,2.156,2.3334,-7.6,60.06,E63 to APC12
17x8,17x8-PERF.PE0,hub and blades,13.42,2,16.95,8.0,0.5275,0.375,3.9312,4.2145,-6.7,109.51,CLARK-Y
17x8E,17x8E-PERF.PE0,hub and blades,13.37,2,16.95,8.0,0.415,0.375,2.1462,2.3266,-7.8,59.79,E63 to APC12
